,res,ind,com,rest
2062800,3455,1092,0,59
2066400,3485,1092,0,29
2070000,3504,1092,0,10
2073600,3514,1092,0,0
2077200,3514,1092,0,0
2080800,3514,1092,0,0
2084400,3485,1092,0,29
2088000,3475,1092,0,39
2091600,3163,1092,312,39
2095200,2875,1092,585,54
2098800,2409,1092,1046,59
2102400,1974,1092,1486,54
2106000,1605,1092,1860,49
2109600,1539,1092,1916,59
2113200,1353,1092,2053,108
2116800,1354,1092,2057,103
2120400,1358,1092,2068,88
2124000,1407,1092,2024,83
2127600,1493,1092,1942,79
2131200,1644,1092,1787,83
2134800,1966,1092,1460,88
2138400,2388,1092,1018,108
2142000,2795,1092,611,108
2145600,3114,1092,312,88
2149200,3455,1092,0,59
2152800,3485,1092,0,29
2156400,3504,1092,0,10
2160000,3514,1092,0,0
2163600,3514,1092,0,0
2167200,3514,1092,0,0
2170800,3485,1092,0,29
2174400,3475,1092,0,39
2178000,3163,1092,312,39
2181600,2875,1092,585,54
2185200,2409,1092,1046,59
2188800,1974,1092,1486,54
2192400,1605,1092,1860,49
2196000,1539,1092,1916,59
2199600,1353,1092,2053,108
2203200,1354,1092,2057,103
2206800,1358,1092,2068,88
2210400,1407,1092,2024,83
2214000,1493,1092,1942,79
2217600,1644,1092,1787,83
2221200,1966,1092,1460,88
2224800,2388,1092,1018,108
2228400,2795,1092,611,108
2232000,3114,1092,312,88
2235600,3455,1092,0,59
2239200,3485,1092,0,29
2242800,3504,1092,0,10
2246400,3514,1092,0,0
2250000,3514,1092,0,0
2253600,3514,1092,0,0
2257200,3485,1092,0,29
2260800,3475,1092,0,39
2264400,3163,1092,312,39
2268000,2875,1092,585,54
2271600,2409,1092,1046,59
2275200,1974,1092,1486,54
2278800,1605,1092,1860,49
2282400,1539,1092,1916,59
2286000,1353,1092,2053,108
2289600,1354,1092,2057,103
2293200,1358,1092,2068,88
2296800,1407,1092,2024,83
2300400,1493,1092,1942,79
2304000,1644,1092,1787,83
2307600,1966,1092,1460,88
2311200,2388,1092,1018,108
2314800,2795,1092,611,108
2318400,3114,1092,312,88
2322000,3455,1092,0,59
2325600,3485,1092,0,29
2329200,3504,1092,0,10
2332800,3514,1092,0,0
2336400,3514,1092,0,0
2340000,3514,1092,0,0
2343600,3485,1092,0,29
2347200,3475,1092,0,39
2350800,3163,1092,312,39
2354400,2875,1092,585,54
2358000,2409,1092,1046,59
2361600,1974,1092,1486,54
2365200,1605,1092,1860,49
2368800,1539,1092,1916,59
2372400,1353,1092,2053,108
2376000,1354,1092,2057,103
2379600,1358,1092,2068,88
2383200,1407,1092,2024,83
2386800,1493,1092,1942,79
2390400,1644,1092,1787,83
2394000,1966,1092,1460,88
2397600,2388,1092,1018,108
2401200,2795,1092,611,108
2404800,3114,1092,312,88
2408400,3455,1092,0,59
2412000,3485,1092,0,29
2415600,3504,1092,0,10
2419200,3514,1092,0,0
2422800,3514,1092,0,0
2426400,3514,1092,0,0
2430000,3485,1092,0,29
2433600,3475,1092,0,39
2437200,3163,1092,312,39
2440800,2875,1092,585,54
2444400,2409,1092,1046,59
2448000,1974,1092,1486,54
2451600,1605,1092,1860,49
2455200,1539,1092,1916,59
2458800,1353,1092,2053,108
2462400,1354,1092,2057,103
2466000,1358,1092,2068,88
2469600,1407,1092,2024,83
2473200,1493,1092,1942,79
2476800,1644,1092,1787,83
2480400,1966,1092,1460,88
2484000,2388,1092,1018,108
2487600,2795,1092,611,108
2491200,3114,1092,312,88
2494800,3455,1092,0,59
2498400,3485,1092,0,29
2502000,3504,1092,0,10
2505600,3514,1092,0,0
2509200,3514,1092,0,0
2512800,3514,1092,0,0
2516400,3485,1092,0,29
2520000,3475,1092,0,39
2523600,3163,1092,312,39
2527200,2875,1092,585,54
2530800,2409,1092,1046,59
2534400,1974,1092,1486,54
2538000,1605,1092,1860,49
2541600,1539,1092,1916,59
2545200,1353,1092,2053,108
2548800,1354,1092,2057,103
2552400,1358,1092,2068,88
2556000,1407,1092,2024,83
2559600,1493,1092,1942,79
2563200,1644,1092,1787,83
2566800,1966,1092,1460,88
2570400,2388,1092,1018,108
2574000,2795,1092,611,108
2577600,3114,1092,312,88
2581200,3455,1092,0,59
2584800,3485,1092,0,29
2588400,3504,1092,0,10
2592000,3514,1092,0,0
2595600,3514,1092,0,0
2599200,3514,1092,0,0
2602800,3485,1092,0,29
2606400,3475,1092,0,39
2610000,3163,1092,312,39
2613600,2875,1092,585,54
2617200,2409,1092,1046,59
2620800,1974,1092,1486,54
2624400,1605,1092,1860,49
2628000,1539,1092,1916,59
2631600,1353,1092,2053,108
2635200,1354,1092,2057,103
2638800,1358,1092,2068,88
2642400,1407,1092,2024,83
2646000,1493,1092,1942,79
2649600,1644,1092,1787,83
2653200,1966,1092,1460,88
2656800,2388,1092,1018,108
2660400,2795,1092,611,108
2664000,3114,1092,312,88
2667600,3455,1092,0,59
2671200,3485,1092,0,29
2674800,3504,1092,0,10
2678400,3514,1092,0,0
2682000,3514,1092,0,0
2685600,3514,1092,0,0
2689200,3485,1092,0,29
2692800,3475,1092,0,39
2696400,3163,1092,312,39
2700000,2875,1092,585,54
2703600,2409,1092,1046,59
2707200,1974,1092,1486,54
2710800,1605,1092,1860,49
2714400,1539,1092,1916,59
2718000,1353,1092,2053,108
2721600,1354,1092,2057,103
2725200,1358,1092,2068,88
2728800,1407,1092,2024,83
2732400,1493,1092,1942,79
2736000,1644,1092,1787,83
2739600,1966,1092,1460,88
2743200,2388,1092,1018,108
2746800,2795,1092,611,108
2750400,3114,1092,312,88
2754000,3455,1092,0,59
2757600,3485,1092,0,29
2761200,3504,1092,0,10
2764800,3514,1092,0,0
2768400,3514,1092,0,0
2772000,3514,1092,0,0
2775600,3485,1092,0,29
2779200,3475,1092,0,39
2782800,3163,1092,312,39
2786400,2875,1092,585,54
2790000,2409,1092,1046,59
2793600,1974,1092,1486,54
2797200,1605,1092,1860,49
2800800,1539,1092,1916,59
2804400,1353,1092,2053,108
2808000,1354,1092,2057,103
2811600,1358,1092,2068,88
2815200,1407,1092,2024,83
2818800,1493,1092,1942,79
2822400,1644,1092,1787,83
2826000,1966,1092,1460,88
2829600,2388,1092,1018,108
2833200,2795,1092,611,108
2836800,3114,1092,312,88
2840400,3455,1092,0,59
2844000,3485,1092,0,29
2847600,3504,1092,0,10
2851200,3514,1092,0,0
2854800,3514,1092,0,0
2858400,3514,1092,0,0
2862000,3485,1092,0,29
2865600,3475,1092,0,39
2869200,3163,1092,312,39
2872800,2875,1092,585,54
2876400,2409,1092,1046,59
2880000,1974,1092,1486,54
2883600,1605,1092,1860,49
2887200,1539,1092,1916,59
2890800,1353,1092,2053,108
2894400,1354,1092,2057,103
2898000,1358,1092,2068,88
2901600,1407,1092,2024,83
2905200,1493,1092,1942,79
2908800,1644,1092,1787,83
2912400,1966,1092,1460,88
2916000,2388,1092,1018,108
2919600,2795,1092,611,108
