,prosocial,Friends_2,MediaExp_3,COVIDeffect_3,DemGen,quota_age,Personal_1,Trustingroups_5,GenSocTrust,FinitePool_4,COVIDeffect_4,COVIDexp,DemEdu,DemHealthcare,Ethnicmin,FinitePool_1,FinitePool_5,Friends_7,KnowledgeCert_2,Longitude_2,Longitude_3,MediaExp_5,MediaExp_7,Personal_5,Personal_7,SARS,Trustingroups_2,Trustingroups_4,Vaccine_2,Longitude_1,Vaccine_1,Soughtinfo,COVIDeffect_2,Trustingroups_3,Friends_1,MediaExp_2
156,7,4,1,4,2,1,4,2,1,1,1,8,3,2,4,4,3,4,4,4,3,2,1,4,4,2,3,3,1,7,1,2,4,3,4,2
157,2,1,1,1,2,3,1,1,2,7,1,8,5,2,2,7,7,1,3,1,1,2,1,1,1,2,2,3,1,2,1,1,1,4,1,2
158,6,5,2,5,2,4,6,3,6,5,5,4,3,2,2,5,5,6,5,5,6,2,2,5,5,1,4,3,1,5,1,1,5,4,6,1
159,3,3,1,4,1,1,4,1,3,4,4,8,2,1,4,4,4,3,1,4,4,1,1,4,4,2,3,1,2,4,1,1,4,1,4,2
160,5,6,1,4,1,4,4,2,2,7,1,8,3,2,1,7,6,4,3,4,2,2,1,6,4,2,3,4,1,7,1,2,5,3,4,1
161,7,7,1,1,1,4,6,1,4,4,1,8,5,2,2,7,6,5,5,6,5,2,1,6,4,2,3,3,1,7,1,1,6,4,7,1
162,5,5,2,4,2,3,5,4,4,5,4,4,4,2,2,4,5,4,3,5,5,2,2,5,5,2,3,3,1,5,1,1,5,4,4,2
163,5,7,1,1,2,2,1,2,3,3,1,8,3,2,2,5,7,1,7,1,1,2,1,5,6,2,2,5,1,1,1,1,1,3,1,1
164,4,4,1,1,2,4,4,2,2,5,1,8,5,2,2,6,5,5,5,6,5,2,1,4,4,2,2,1,2,6,2,1,7,3,4,1
165,7,6,1,5,1,3,7,1,6,7,1,8,4,2,4,3,6,5,6,3,3,1,1,6,5,2,2,3,1,6,1,1,6,2,5,1
166,1,3,1,1,1,4,1,2,6,7,1,8,4,2,2,4,7,3,3,1,1,1,1,5,3,2,4,3,2,1,2,1,7,3,3,1
167,6,3,1,1,2,6,5,3,5,7,3,8,5,2,4,4,1,7,2,1,1,2,2,5,7,2,3,3,1,3,1,1,1,2,5,1
168,5,5,1,3,2,3,4,3,2,5,1,2,3,2,2,5,4,3,3,3,1,1,1,4,2,2,3,3,2,5,2,1,5,4,4,1
169,6,5,1,2,2,4,3,3,3,3,1,9,5,2,2,6,6,3,6,3,1,2,2,3,3,2,3,3,1,6,1,1,5,3,3,1
170,7,5,1,1,1,5,5,1,5,7,1,8,9,2,4,7,7,6,4,3,2,1,1,2,1,2,1,1,1,5,1,2,7,5,5,2
171,5,2,1,1,1,4,2,1,1,6,1,8,3,2,2,6,6,2,3,5,1,2,1,1,1,2,2,3,1,6,1,2,1,4,2,2
172,6,5,1,1,1,4,5,1,1,5,7,9,5,2,2,7,7,6,4,3,1,1,1,6,5,2,2,1,2,7,2,1,7,2,6,1
173,7,5,1,4,2,2,6,3,7,5,4,8,5,2,2,7,6,4,1,5,3,2,1,4,5,2,3,3,1,7,1,1,5,3,4,1
174,7,4,1,1,1,4,4,3,4,7,1,8,3,2,2,7,7,4,7,3,1,1,1,4,4,2,4,4,1,4,1,1,6,4,4,1
175,4,4,2,4,1,3,4,3,4,4,4,9,4,1,4,4,4,4,4,1,1,2,2,4,4,2,3,3,1,5,1,2,5,3,4,2
176,6,5,1,3,2,2,3,2,2,1,1,8,4,2,2,5,6,4,7,2,1,2,1,5,5,2,3,4,1,4,1,1,1,2,4,1
