,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
72,Unclassified,Unclassified,,217 CANEY FORK,1977.876,21159950300,"POLYGON ((-82.4373072972636 37.7222995446683, -82.4371845757177 37.7222078717337, -82.4372807511486 37.7221266381749, -82.4374034726946 37.7222183112102, -82.4373072972636 37.7222995446683))"
73,Commercial,Retail Trade,,,4615.017,21159950300,"POLYGON ((-82.4782612817591 37.7557293863322, -82.4784816151421 37.7554707671241, -82.4785979478698 37.7555332430086, -82.4783776162834 37.755791864129, -82.4782612817591 37.7557293863322))"
74,Residential,Single Family Dwelling,,960 DAVELLA ROAD,2801.981,21159950202,"POLYGON ((-82.5878809181143 37.7950832241449, -82.5877994651726 37.7949923618663, -82.5879941202131 37.7948824831058, -82.5880755731549 37.7949733440999, -82.5878809181143 37.7950832241449))"
75,Residential,Unclassified,,22 BLUE JAY LANE,1186.728,21159950300,"POLYGON ((-82.349332153556 37.7837784098818, -82.3492507203772 37.7837610988232, -82.3492943398724 37.783631839052, -82.3493757739495 37.7836491487209, -82.349332153556 37.7837784098818))"
76,Residential,Manufactured Home,,7844 RIVER FRONT ROAD,1977.859,21159950300,"POLYGON ((-82.3407956466673 37.7837530939748, -82.3407177285962 37.7837786377803, -82.3406104499883 37.7835725008145, -82.3406883680594 37.7835469576477, -82.3407956466673 37.7837530939748))"
77,Residential,Single Family Dwelling,,7815 RIVER FRONT ROAD,2801.973,21159950300,"POLYGON ((-82.3397840843686 37.7837192180147, -82.3397478256688 37.7835318410416, -82.339886703415 37.7835149140173, -82.3399229630132 37.7837022903234, -82.3397840843686 37.7837192180147))"
78,Unclassified,Unclassified,,82 CUMBO ROAD,1186.721,21159950202,"POLYGON ((-82.5701213066939 37.8145596593418, -82.5701142046133 37.8144929930631, -82.5702822740131 37.814481725647, -82.5702893751954 37.8145483919359, -82.5701213066939 37.8145596593418))"
79,Residential,Unclassified,,,3131.64,21159950201,"POLYGON ((-82.624114395929 37.7394919299328, -82.6243332920075 37.7396130398569, -82.6242530257403 37.739704530699, -82.62403413056 37.7395834209246, -82.624114395929 37.7394919299328))"
80,Residential,Unclassified,,248 CHAPMAN FARM ROAD,2472.334,21159950300,"POLYGON ((-82.3247322153018 37.7558307671276, -82.3249426303857 37.755839171309, -82.3249355732209 37.7559505449105, -82.3247251572386 37.7559421407419, -82.3247322153018 37.7558307671276))"
81,Residential,Unclassified,,248 CHAPMAN FARM ROAD,1977.87,21159950300,"POLYGON ((-82.3243951539325 37.7558239169342, -82.3242288003149 37.7558454241954, -82.3242062274484 37.7557353579755, -82.324372581066 37.7557138521027, -82.3243951539325 37.7558239169342))"
82,Unclassified,Unclassified,,,1318.574,21159950300,"POLYGON ((-82.4079663716384 37.7225968300574, -82.4078540741431 37.7225954338237, -82.4078562714222 37.7224839347096, -82.407968567121 37.7224853309454, -82.4079663716384 37.7225968300574))"
83,Residential,Unclassified,,248 CHAPMAN FARM ROAD,593.3653,21159950300,"POLYGON ((-82.3241148813604 37.7558196157654, -82.3241003169748 37.7557537139573, -82.3241833222053 37.7557421506481, -82.3241978856927 37.7558080538869, -82.3241148813604 37.7558196157654))"
84,Residential,Manufactured Home,,9225 MEATHOUSE ROAD,1269.125,21159950300,"POLYGON ((-82.5030078627969 37.7041698023221, -82.5031538147761 37.7041298167422, -82.5031858406143 37.704203610234, -82.5030398877368 37.7042435950634, -82.5030078627969 37.7041698023221))"
85,Residential,Manufactured Home,,9261 MEATHOUSE ROAD,1054.862,21159950300,"POLYGON ((-82.5040465236745 37.7041344251062, -82.5038602831532 37.7042341089828, -82.5038289166784 37.704197116313, -82.5040151580981 37.7040974316759, -82.5040465236745 37.7041344251062))"
86,Unclassified,Unclassified,,,1878.965,21159950300,"POLYGON ((-82.4370686193842 37.7704003930092, -82.4369328138762 37.7705827893171, -82.4368602542557 37.7705487461305, -82.4369960588654 37.7703663497388, -82.4370686193842 37.7704003930092))"
87,Residential,Unclassified,,3158 NEW ROUTE 3,3560.182,21159950202,"POLYGON ((-82.5683504847238 37.8132381690372, -82.5681873210238 37.813272061979, -82.5681232388047 37.8130778951947, -82.568286403403 37.8130440021637, -82.5683504847238 37.8132381690372))"
88,Residential,Single Family Dwelling,,85 DAVIS BRANCH,4351.32,21159950100,"POLYGON ((-82.4218307074255 37.8132489859956, -82.421662291276 37.8132563560323, -82.4216452619131 37.8130114028698, -82.4218136771643 37.8130040349377, -82.4218307074255 37.8132489859956))"
89,Unclassified,Unclassified,,29 BABE DELONG ROAD,791.15,21159950202,"POLYGON ((-82.5732033204326 37.804861692753, -82.5732159911697 37.8047282631291, -82.5732720469417 37.8047316139197, -82.5732593762046 37.8048650442473, -82.5732033204326 37.804861692753))"
90,Unclassified,Unclassified,,,890.0458,21159950201,"POLYGON ((-82.5938604612766 37.7705481219603, -82.5937354876542 37.7705329572501, -82.5937482239683 37.7704668207282, -82.593873195794 37.7704819861622, -82.5938604612766 37.7705481219603))"
91,Residential,Manufactured Home,,105 JACKSON ROAD,988.9372,21159950202,"POLYGON ((-82.588182772711 37.7925178233345, -82.588318133553 37.7924879061365, -82.5883407540302 37.7925523568694, -82.5882053922899 37.7925822740413, -82.588182772711 37.7925178233345))"
92,Residential,Manufactured Home,,2094 SOUTH WOLF CREEK,2076.76,21159950201,"POLYGON ((-82.476676052625 37.7704769366986, -82.4767896580674 37.7702608270042, -82.4768674431879 37.7702865927607, -82.4767538377455 37.77050270309, -82.476676052625 37.7704769366986))"
93,Residential,Manufactured Home,,9345 MEATHOUSE ROAD,2307.511,21159950300,"POLYGON ((-82.5055215861171 37.7038584266635, -82.5056908107504 37.7039377648339, -82.5056194863134 37.7040338008004, -82.5054502607819 37.7039544648651, -82.5055215861171 37.7038584266635))"
94,Residential,Single Family Dwelling,,56 ENDICOTT DRIVE,2637.163,21159950201,"POLYGON ((-82.5065502011349 37.8131696627797, -82.5068170555715 37.8130995412216, -82.5068524105662 37.8131842233188, -82.5065855570278 37.8132543462159, -82.5065502011349 37.8131696627797))"
95,Unclassified,Unclassified,,1220 PIGEON ROOST ROAD,1977.872,21159950300,"POLYGON ((-82.4504197171067 37.7702938911041, -82.4505059410009 37.7703511047507, -82.4503707975513 37.7704794397726, -82.4502845727587 37.7704222262253, -82.4504197171067 37.7702938911041))"
96,Unclassified,Unclassified,,,1582.297,21159950201,"POLYGON ((-82.5435273357828 37.8130486768452, -82.5435928705777 37.8132193447438, -82.543512198272 37.8132388418148, -82.5434466643754 37.8130681739614, -82.5435273357828 37.8130486768452))"
97,Unclassified,Unclassified,,6598 PIGEON ROOST ROAD,988.9293,21159950300,"POLYGON ((-82.4327501725733 37.7086763509688, -82.4328316740241 37.7086594999149, -82.4328670263238 37.7087674180883, -82.4327855239747 37.7087842691176, -82.4327501725733 37.7086763509688))"
98,Residential,Single Family Dwelling,,1006 WHITE OAK ROAD,2373.474,21159950300,"POLYGON ((-82.4226116569194 37.7736920331199, -82.4228449709582 37.7737694382553, -82.4228016299407 37.7738517476908, -82.4225683159019 37.7737743433517, -82.4226116569194 37.7736920331199))"
99,Residential,Manufactured Home,,3602 RIVER FRONT ROAD,1780.075,21159950100,"POLYGON ((-82.3919010708788 37.8124237132318, -82.3918396611477 37.8123778538291, -82.3920130728284 37.8122316967085, -82.3920744816613 37.8122775547826, -82.3919010708788 37.8124237132318))"
0,Residential,Unclassified,,42 CLAY MOORE ROAD,791.1479,21159950300,"POLYGON ((-82.4443092660513 37.7785745762092, -82.4443257698997 37.7786628181367, -82.4442423882751 37.7786726418803, -82.4442258844267 37.7785843999645, -82.4443092660513 37.7785745762092))"
1,Residential,Unclassified,,443 PIGEON ROOST ROAD,2538.265,21159950300,"POLYGON ((-82.4445376312713 37.7786619966513, -82.4445224659127 37.7785399268, -82.4447182070164 37.7785246082357, -82.4447333723751 37.7786466781122, -82.4445376312713 37.7786619966513))"
2,Unclassified,Unclassified,,,1153.759,21159950300,"POLYGON ((-82.4345512794467 37.7786624538999, -82.4345201429406 37.7785884108339, -82.4346534089113 37.7785531067979, -82.4346845454174 37.7786271498992, -82.4345512794467 37.7786624538999))"
3,Residential,Single Family Dwelling,,3607 RIVER FRONT ROAD,2175.656,21159950100,"POLYGON ((-82.3921437893804 37.8125817451724, -82.3922645642771 37.8124883353477, -82.3923724950618 37.8125761663196, -82.3922517201651 37.8126695767429, -82.3921437893804 37.8125817451724))"
