,res,ind,com,rest
2379600,2676,661,1241,28
2383200,2771,615,1197,23
2386800,2857,615,1115,19
2390400,3011,615,960,20
2394000,3336,615,633,22
2397600,3767,615,191,33
2401200,3958,615,0,33
2404800,3978,615,0,13
2408400,3991,615,0,0
2412000,3884,722,0,0
2415600,3884,722,0,0
2419200,3884,722,0,0
2422800,3884,722,0,0
2426400,3884,722,0,0
2430000,3871,722,0,13
2433600,3864,722,0,20
2437200,3664,722,200,20
2440800,3578,637,361,30
2444400,3292,637,644,33
2448000,3053,637,888,28
2451600,2857,637,1089,23
2455200,2829,637,1114,26
2458800,2733,637,1188,48
2462400,2735,637,1191,43
2466000,2745,637,1196,28
2469600,2855,576,1152,23
2473200,2941,576,1070,19
2476800,3093,576,915,22
2480400,3416,576,588,26
2484000,3849,576,146,35
2487600,3995,576,0,35
2491200,4015,576,0,15
2494800,4030,576,0,0
2498400,3900,706,0,0
2502000,3900,706,0,0
2505600,3900,706,0,0
2509200,3900,706,0,0
2512800,3900,706,0,0
2516400,3882,706,0,18
2520000,3877,706,0,23
2523600,3682,706,195,23
2527200,3582,618,372,34
2530800,3324,618,629,35
2534400,3087,618,871,30
2538000,2913,618,1050,25
2541600,2885,618,1072,31
2545200,2796,618,1147,45
2548800,2801,618,1147,40
2552400,2813,618,1150,25
2556000,2927,553,1106,20
2559600,3013,553,1024,16
2563200,3166,553,869,18
2566800,3491,553,542,20
2570400,3921,553,100,32
2574000,4021,553,0,32
2577600,4041,553,0,12
2581200,4053,553,0,0
2584800,3944,662,0,0
2588400,3944,662,0,0
2592000,3944,662,0,0
2595600,3944,662,0,0
2599200,3944,662,0,0
2602800,3923,662,0,21
2606400,3917,662,0,27
2610000,3733,662,184,27
2613600,3619,604,346,37
2617200,3374,604,589,39
2620800,3165,604,803,34
2624400,2996,604,977,29
2628000,2969,604,1000,33
2631600,2883,604,1069,50
2635200,2885,604,1072,45
2638800,2891,604,1081,30
2642400,3004,540,1037,25
2646000,3090,540,955,21
2649600,3243,540,800,23
2653200,3570,540,473,23
2656800,4004,540,31,31
2660400,4035,540,0,31
2664000,4055,540,0,11
2667600,4066,540,0,0
2671200,3985,621,0,0
2674800,3985,621,0,0
2678400,3985,621,0,0
2682000,3985,621,0,0
2685600,3985,621,0,0
2689200,3969,621,0,16
2692800,3965,621,0,20
2696400,3784,621,181,20
2700000,3655,581,342,28
2703600,3408,581,587,30
2707200,3196,581,804,25
2710800,3040,581,965,20
2714400,3007,581,994,24
2718000,2923,581,1062,40
2721600,2927,581,1063,35
2725200,2936,581,1069,20
2728800,3098,468,1025,15
2732400,3184,468,943,11
2736000,3338,468,788,12
2739600,3662,468,461,15
2743200,4098,468,19,21
2746800,4117,468,0,21
2750400,4137,468,0,1
2754000,4138,468,0,0
2757600,3994,612,0,0
2761200,3994,612,0,0
2764800,3994,612,0,0
2768400,3994,612,0,0
2772000,3994,612,0,0
2775600,3979,612,0,15
2779200,3974,612,0,20
2782800,3789,612,185,20
2786400,3696,542,340,28
2790000,3467,542,568,29
2793600,3255,542,785,24
2797200,3097,542,948,19
2800800,3072,542,971,21
2804400,2992,542,1030,42
2808000,2996,542,1031,37
2811600,3007,542,1035,22
2815200,3129,469,991,17
2818800,3215,469,909,13
2822400,3367,469,754,16
2826000,3691,469,427,19
2829600,4112,469,0,25
2833200,4112,469,0,25
2836800,4132,469,0,5
2840400,4137,469,0,0
2844000,3999,607,0,0
2847600,3999,607,0,0
2851200,3999,607,0,0
2854800,3999,607,0,0
2858400,3999,607,0,0
2862000,3988,607,0,11
2865600,3982,607,0,17
2869200,3810,607,172,17
2872800,3779,493,312,22
2876400,3519,493,571,23
2880000,3312,493,783,18
2883600,3154,493,946,13
2887200,3132,493,966,15
2890800,3064,493,1020,29
2894400,3068,493,1021,24
2898000,3077,493,1027,9
2901600,3170,449,983,4
2905200,3256,449,901,0
2908800,3409,449,746,2
2912400,3734,449,419,4
2916000,4142,449,0,15
2919600,4142,449,0,15
2923200,4157,449,0,0
2926800,4157,449,0,0
2930400,4051,555,0,0
2934000,4051,555,0,0
2937600,4051,555,0,0
2941200,4051,555,0,0
2944800,4051,555,0,0
2948400,4039,555,0,12
2952000,4033,555,0,18
2955600,3857,555,176,18
2959200,3751,513,316,26
2962800,3513,513,553,27
2966400,3327,513,744,22
2970000,3179,513,897,17
2973600,3154,513,918,21
2977200,3075,513,976,42
2980800,3079,513,977,37
2984400,3091,513,980,22
2988000,3240,413,936,17
2991600,3326,413,854,13
2995200,3480,413,699,14
2998800,3807,413,372,14
3002400,4173,413,0,20
3006000,4173,413,0,20
3009600,4193,413,0,0
3013200,4193,413,0,0
3016800,4077,529,0,0
3020400,4077,529,0,0
3024000,4077,529,0,0
3027600,4077,529,0,0
3031200,4077,529,0,0
3034800,4066,529,0,11
3038400,4059,529,0,18
3042000,3899,529,160,18
3045600,3805,488,288,25
3049200,3592,488,497,29
3052800,3392,488,702,24
3056400,3251,488,848,19
3060000,3224,488,874,20
3063600,3160,488,919,39
3067200,3164,488,920,34
3070800,3177,488,922,19
3074400,3272,442,878,14
3078000,3358,442,796,10
3081600,3513,442,641,10
3085200,3839,442,314,11
3088800,4143,442,0,21
3092400,4143,442,0,21
3096000,4163,442,0,1
3099600,4164,442,0,0
3103200,4025,581,0,0
3106800,4025,581,0,0
3110400,4025,581,0,0
3114000,4025,581,0,0
3117600,4025,581,0,0
3121200,4018,581,0,7
3124800,4012,581,0,13
3128400,3860,581,152,13
3132000,3862,455,272,17
3135600,3645,455,487,19
3139200,3482,455,655,14
3142800,3342,455,800,9
3146400,3316,455,823,12
3150000,3246,455,881,24
3153600,3249,455,883,19
3157200,3261,455,886,4
3160800,3357,407,842,0
3164400,3439,407,760,0
3168000,3591,407,605,3
3171600,3916,407,278,5
3175200,4186,407,0,13
3178800,4186,407,0,13
3182400,4199,407,0,0
3186000,4199,407,0,0
3189600,4086,520,0,0
3193200,4086,520,0,0
3196800,4086,520,0,0
3200400,4086,520,0,0
3204000,4086,520,0,0
3207600,4073,520,0,13
3211200,4069,520,0,17
3214800,3915,520,154,17
3218400,3855,451,280,20
3222000,3676,451,457,22
3225600,3496,451,642,17
3229200,3358,451,785,12
3232800,3330,451,807,18
3236400,3263,451,858,34
3240000,3268,451,858,29
3243600,3277,451,864,14
3247200,3384,393,820,9
3250800,3470,393,738,5
3254400,3624,393,583,6
3258000,3948,393,256,9
3261600,4196,393,0,17
3265200,4196,393,0,17
3268800,4213,393,0,0
3272400,4213,393,0,0
3276000,4132,474,0,0
3279600,4132,474,0,0
3283200,4132,474,0,0
3286800,4132,474,0,0
3290400,4132,474,0,0
3294000,4123,474,0,9
3297600,4121,474,0,11
3301200,3989,474,132,11
3304800,3894,454,242,16
3308400,3682,454,453,17
3312000,3527,454,613,12
3315600,3410,454,735,7
3319200,3385,454,759,8
3322800,3333,454,801,18
3326400,3337,454,802,13
3330000,3347,454,805,0
3333600,3446,399,761,0
3337200,3528,399,679,0
3340800,3682,399,524,1
3344400,4006,399,197,4
3348000,4199,399,0,8
3351600,4199,399,0,8
3355200,4207,399,0,0
3358800,4207,399,0,0
3362400,4110,496,0,0
3366000,4110,496,0,0
3369600,4110,496,0,0
3373200,4110,496,0,0
3376800,4110,496,0,0
3380400,4098,496,0,12
3384000,4095,496,0,15
3387600,3962,496,133,15
3391200,3903,435,246,22
3394800,3712,435,436,23
3398400,3538,435,615,18
3402000,3389,435,769,13
3405600,3372,435,784,15
3409200,3315,435,831,25
3412800,3319,435,832,20
3416400,3329,435,837,5
3420000,3448,365,793,0
3423600,3530,365,711,0
3427200,3682,365,556,3
3430800,4009,365,229,3
3434400,4229,365,0,12
3438000,4229,365,0,12
3441600,4241,365,0,0
3445200,4241,365,0,0
3448800,4159,447,0,0
3452400,4159,447,0,0
3456000,4159,447,0,0
3459600,4159,447,0,0
3463200,4159,447,0,0
3466800,4147,447,0,12
3470400,4142,447,0,17
3474000,3999,447,143,17
3477600,3928,405,250,23
3481200,3745,405,432,24
3484800,3586,405,596,19
3488400,3465,405,722,14
3492000,3438,405,745,18
3495600,3384,405,785,32
3499200,3388,405,786,27
3502800,3399,405,790,12
3506400,3478,375,746,7
3510000,3564,375,664,3
3513600,3718,375,509,4
3517200,4044,375,182,5
3520800,4216,375,0,15
3524400,4216,375,0,15
3528000,4231,375,0,0
3531600,4231,375,0,0
3535200,4138,468,0,0
3538800,4138,468,0,0
3542400,4138,468,0,0
3546000,4138,468,0,0
3549600,4138,468,0,0
3553200,4123,468,0,15
3556800,4122,468,0,16
3560400,3990,468,132,16
3564000,3927,402,256,21
3567600,3758,402,424,22
3571200,3584,402,603,17
3574800,3464,402,728,12
3578400,3441,402,748,15
3582000,3385,402,787,32
3585600,3390,402,787,27
3589200,3402,402,790,12
3592800,3531,322,746,7
3596400,3617,322,664,3
3600000,3771,322,509,4
3603600,4097,322,182,5
3607200,4274,322,0,10
3610800,4274,322,0,10
3614400,4284,322,0,0
3618000,4284,322,0,0
3621600,4153,453,0,0
3625200,4153,453,0,0
3628800,4153,453,0,0
3632400,4153,453,0,0
3636000,4153,453,0,0
3639600,4146,453,0,7
3643200,4143,453,0,10
3646800,4009,453,134,10
3650400,3940,414,239,13
3654000,3778,414,401,13
3657600,3624,414,560,8
3661200,3510,414,679,3
3664800,3489,414,697,6
3668400,3430,414,745,17
3672000,3434,414,746,12
3675600,3443,414,749,0
3679200,3555,346,705,0
3682800,3637,346,623,0
3686400,3791,346,468,1
3690000,4116,346,141,3
3693600,4255,346,0,5
3697200,4255,346,0,5
3700800,4260,346,0,0
3704400,4260,346,0,0
3708000,4175,431,0,0
3711600,4175,431,0,0
3715200,4175,431,0,0
3718800,4175,431,0,0
3722400,4175,431,0,0
3726000,4166,431,0,9
3729600,4163,431,0,12
3733200,4030,431,133,12
